Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,castor.castor_0,castor.castor_1,castor.castor_2,castor.castor_3,segway.segway_0,segway.segway_1,segway.segway_2,segway.segway_3
1669927714.3305345,82,1669927714,330347776,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.3406823,83,1669927714,340384721,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.3505507,84,1669927714,350393295,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.3609834,85,1669927714,360549449,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.3706996,86,1669927714,370381116,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.3806376,87,1669927714,380370855,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.3905883,88,1669927714,390361785,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.4005866,89,1669927714,400382757,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.411102,90,1669927714,410508871,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.420597,91,1669927714,420406103,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.4308267,92,1669927714,430434703,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.4406712,93,1669927714,440453529,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.4506936,94,1669927714,450386285,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.4607065,95,1669927714,460516214,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.4707386,96,1669927714,470404148,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.4805574,97,1669927714,480391263,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.4906406,98,1669927714,490463495,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.5006144,99,1669927714,500379562,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.51067,100,1669927714,510400772,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.520865,101,1669927714,520414113,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.5306635,102,1669927714,530397653,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.54062,103,1669927714,540384531,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.551007,104,1669927714,550544023,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.5605903,105,1669927714,560402393,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.5707886,106,1669927714,570390701,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.5806708,107,1669927714,580417394,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.590741,108,1669927714,590413570,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.6008282,109,1669927714,600530385,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.6105647,110,1669927714,610393047,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.6209824,111,1669927714,620662450,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.6305523,112,1669927714,630381107,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.6406472,113,1669927714,640394449,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.6508086,114,1669927714,650555610,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.6612074,115,1669927714,660710334,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.6706827,116,1669927714,670429468,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.6809406,117,1669927714,680591583,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.6908102,118,1669927714,690506696,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
